#,island,location,site,interest,popularity,#_of_ratings,avg,shore_access,qualification,depth_avg,depth_max,description,depth_max_clean,latitude,longitude
32,Malta,Qawra Point,"Qawra Reef (Qawra Far Reef, Qawra Drop-Off)",Reef,Low,2,2.5,Medium,Experienced,30m,40m,Qawra Reef is offshore dive site off Qawra Point in Malta. Qawra Reef has nice wall with several big beautiful caves/caverns. Depth of dive from 15m to 40m.,40.0,,
33,Malta,Sliema,,Cave & Reef,High,1,2.0,Easy,Beginner,5+m,15+m,"Sliema is on northeast coast of Malta. Dive sites in Sliema are Fortizza Reef, Coral Gardens & Qui Si Sana, shallow reefs with caverns, tunnels, and gullies.",15.0,35.9127609,14.5020708
34,Malta,Sliema,Fortizza Reef,Cave & Reef,High,6,4.0,Easy,Beginner,5+m,15+m,"Fortizza Reef is shallow dive site in Sliema. Fortizza Reef has lots of caverns, tunnels, arches, overhangs, valleys, and gullies for divers to explore.",15.0,35.9127609,14.5020708
35,Malta,Sliema,Coral Gardens,Reef,High,3,3.3,Easy,Beginner,5+m,15+m,Coral Gardens is shallow dive site in Sliema. Coral Gardens reef has valleys and canyons with some interesting rock formations and swimthrough tunnels.,15.0,35.9127609,14.5020708
36,Malta,Sliema,Qui Si Sana,Reef,Low,2,1.5,Hard,Beginner,5+m,15+m,Qui Si Sana is a shallow reef dive site in Sliema. Qui Si Sana reef is mostly used for dive training and try dives.,15.0,35.9127609,14.5020708
37,Malta,"Marsaskala (Marsascala, M'skala, M'scala)",,Cave & Reef & Wreck,High,1,2.0,Easy,Beginner,10+m,20+m,"Marsaskala is in south east Malta. Dive sites in Marsaskala are tugboat wrecks St. Michael & Tug 10 scuttled in 1998, Zonqor Point reefs, and Mini Blue Hole.",20.0,,
38,Malta,Marsaskala,"Tugboat 10 (No 10, Number Ten, Tug 10, MV No.10)",Reef & Wreck,High,5,2.0,Easy,Advanced,20m,24m,"Tugboat 10 is shallow wreck dive in Marsaskala, Malta. Tug 10 is 16m tugboat scuttled 1998 for scuba diving. Wreck is upright at 21m depth.",24.0,35.8629162,14.5591879
39,Malta,Marsaskala,"St. Michael (St Michael, St Michale)",Reef & Wreck,High,5,3.0,Easy,Advanced,20m,24m,"St. Michael is shallow wreck dive in Marsaskala, Malta. St. Michael was 20m tugboat and was scuttled in 1998 for scuba diving. Wreck is upright at 22m.",24.0,35.8629162,14.5591879
40,Malta,Marsaskala,P33 (Patrol Boat P33),Wreck,High,3,3.3,Easy,Advanced,20m,24m,P33 is 23m long former patrol boat that was scuttled for divers in Marsaskala 31.7.2021.,24.0,35.8629162,14.5591879
41,Malta,Marsaskala,Mini Blue Hole (Ghar id-Duhhan),Cave & Reef,Low,4,3.5,Medium,Beginner,10+m,15+m,"Mini Blue Hole dive site is in Marsaskala, Malta. The hole is a natural rock formation connected to the sea by an underwater tunnel. Shallow reefs as well.",15.0,35.8629162,14.5591879
42,Malta,Marsaskala,Zonqor Point (Ras iz-Zonqor),Reef,Low,1,1.0,Easy,Beginner,5+m,20+m,Zonqor Point dive site in Marsaskala has shallow reefs on both sides of the peninsula. Zonqor Point reefs are shore dives with max depth about 20m.,20.0,35.8629162,14.5591879
43,Malta,Delimara,,Cave & Reef & Wall & Wreck,Low,1,3.0,Medium,Advanced,12m,30+m,Delimara Point is located in the south east corner of the main island overlooking the Malta Freeport.,30.0,35.8219807,14.5587814
44,Malta,Delimara,East Reef,Reef,Low,2,2.5,Medium,Beginner,5m,25m,"East reef is the easiest and shallow dive location in Delimara Point, but accessible only on very calm weathers as it's exposed to swells.",25.0,35.8219807,14.5587814
45,Malta,Delimara,South Reef,Cave & Reef & Wall,Low,2,4.5,Medium,Advanced,12m,30+m,"South reef provides the most interesting wall/reef formations in the Delimara area. Be aware of the boat traffic on the area, DSMB is highly recommended on this dive site.",30.0,35.8219807,14.5587814
46,Malta,Delimara,Cave,Cave & Reef & Wall,Low,2,4.0,Medium,Experienced,10m,18m,Delimara Cave is a nice chimney style cave located in the south reef. It's definitely something worth checking out when diving in the area.,18.0,35.8219807,14.5587814
47,Malta,Delimara,Wreck,Reef & Wreck,Low,2,2.0,Medium,Advanced,5m,9m,Delimara Wreck is a decent size sunken and broken up barge in a pretty shallow waters.,9.0,35.8219807,14.5587814
48,Malta,Anchor Bay (Popeye Village),,Cave & Reef,Medium,4,3.3,Easy,Beginner,6m,12m,"Anchor Bay aka Popeye Village is shore diving site in Malta. Anchor Bay’s best dive is Scorpion Cave, large shallow cavern.",12.0,,
49,Malta,Anchor Bay,Cave (Scorpion Cave),Cave & Reef,Medium,3,4.0,Easy,Beginner,7m,10m,Scorpion Cave is the best dive site in Anchor Bay. Shallow cave with large entrance is suitable also for less experienced divers.,10.0,35.9598731,14.3405804
50,Malta,Anchor Bay,Anchor,Reef,Medium,2,1.5,Easy,Beginner,8m,8m,"Anchor Bay dive site features a large anchor and its anchor chain. The anchor is about 3m in length, and lies on sand around 8m deep.",8.0,35.9598731,14.3405804
51,Malta,Anchor Bay,Reef,Reef,Medium,2,2.0,Easy,Beginner,6m,12m,"Anchor Bay reef is varied dive site with large boulders, swim-throughs, rocky reefs, sea grass meadows and rich marine life.",12.0,35.9598731,14.3405804
52,Malta,Anchor Bay,Training area,,Medium,2,1.0,Easy,Beginner,1m,6m,Anchor Bay training area is shallow sheltered place ideal for try dives and first course dives.,6.0,35.9598731,14.3405804
53,Malta,L'Ahrax Point,,Cave & Reef & Wall,Medium,3,3.7,Easy,Beginner,7m,18m,L'Ahrax Point is located on the northernmost point of the main island Malta.,18.0,,
54,Malta,L'Ahrax Point,Cave,Cave & Reef,Low,2,2.0,Easy,Beginner,5m,10m,There is a small cavern/cave on the very tip of L'Ahrax Point. It can be easily found by following the shore line.,10.0,,
55,Malta,L'Ahrax Point,North Reef,Reef,Medium,3,3.0,Medium,Beginner,10m,30m,"L'Ahrax Point North Reef provides a long reef with a lots to explore; Rocky boulders, small canyons, swim throughs and sandy posidonia. It's a bit far from the shore entry, so ideally dived off a boat.",30.0,,
56,Malta,L'Ahrax Point,Tunnel,Cave & Reef,Medium,4,4.3,Medium,Beginner,7m,18m,"The tunnel provides access to the inland sea of L'Ahrax Point. It's open to the surface, so it's accessible by snorkelers also.",18.0,,
57,Malta,L'Ahrax Point,"Inland Sea (Dragonara Cave, Coral Lagoon, Coral Grotto)",Cave & Reef,Medium,3,4.0,Medium,Beginner,4m,8m,Inland Sea dive site in L'Ahrax Point features a cavern with collapsed roof leaving a large circular opening in the rock faces that rises 10m above sea surface.,8.0,,
58,Malta,,"Armier Bay (Armier Bay Anchor, Admiralty Anchor)",Reef,Low,0,,Easy,Beginner,5m,8m,Large Admiralty Anchor at Armier Bay,8.0,,
59,Malta,,"Sirens (Sirens Harbour, Sirens Reef)",,Medium,1,2.0,Easy,Beginner,6m,12m,Sirens dive site is in St. Paul’s Bay in northern Malta. Sirens has shallow reef with max depth 12m and is mainly used for try dives and diving courses.,12.0,,
60,Malta,,Harq Hamiem Cave (Ghar Harq il-Hammiem),Cave,Not dived,2,5.0,Hard,Technical,20m,52m,"Harq Hammiem Cave in St. Julian's is the only known fully submerged terrestrial cavern in Malta, consisting of two chambers, with max depth 52m.",52.0,,
61,Malta,,Dornier Wal XI (Dornier Do J),Wreck,Low,3,3.0,Easy,Beginner,5m,6m,Dornier Wal XI is seaplane wreckage in Gnejna Bay. Dornier Do J was German flying boat that crash landed 1932. Plane wreck is 12-15m deep.,6.0,,
62,Malta,,"SS Margit (MV Odile, Kalkara Creek)",Wreck,Low,4,3.5,Easy,Advanced,16m,24m,SS Margit (MV Odile) is shallow wreck dive in Malta. Margit was a 100m passenger ship that sunk in 1941 in Kalkara Creek. Wreck is at 22m and quite broken.,24.0,,
63,Malta,,"Slugs Bay (Slug Bay, Slug's Bay)",Reef,Low,3,1.0,Medium,Beginner,5+m,10+m,Slugs Bay is shallow reef dive site in Mellieha Bay in northeast Malta. Slugs Bay has abundance of marine life and a natural rock arch. Max depth 12m.,10.0,,
64,Malta,,Merkanti Reef (Mercanti Reef),Reef,Low,2,2.5,Medium,Beginner,10+m,20+m,Merkanti Reef is shallow dive site located off St. Julian’s in Malta. Merkanti Reef has many small overhangs and crevices with a variety of marine life.,20.0,,
65,Malta,,"X127 (X127 Lighter, Carolita, Coralita, X131)",Wreck,Low,5,3.4,Easy,Beginner,8m,25m,X127 is one of the WWII wreck dives around Malta. X127 was British water lighter that sunk 1942. Wreck is in Marsamxett Harbour off Manoel Island at 22m.,25.0,,
66,Malta,,"Migra Ferha (Migrah il-Ferha, Happy Welcome, The Steps)",Cave & Reef & Wreck,Low,4,4.3,Hard,Experienced,30m,60+m,"Migra Ferha dive site is under Dingli Cliffs in Malta. Migra Ferha has car wrecks, boulders, caves, caverns and overhangs.",60.0,,
67,Malta,,"Benghisa Point (Benghajsa Point, Il-Ponta ta' Benghajsa)",Reef,Low,2,1.5,Medium,Advanced,4m,20m,Benghisa Point dive site is on south coast of Malta. Benghisa Point is shallow reef dive with some interesting rock formations including an arch. Depth 4-20m.,20.0,,
68,Malta,,Xrobb Il-Ghagin (Xrobb l-Ghagin),,Low,2,2.0,Easy,Beginner,3m,15m,Not much to see on this dive site called Xrobb Il-Ghagin. Mainly just some nice boulders to explore with an easy entry to the water.,15.0,,
69,Malta,,Mtahleb,Wall,Low,2,3.0,Hard,Experienced,30m,70+m,"Mtahleb provides some nice caverns and large boulders to explore, but usually divers prefer to dive Migrah Ferha in this area.",70.0,,
70,Malta,,Rdum il-Qawwi (Rough Cliffs),Cave,Low,1,2.0,Hard,Advanced,6m,45+m,,45.0,,
71,Malta,,HMS Jersey (F72),Wreck,Not dived,0,,Hard,Advanced,15m,19m,HMS Jersey is WWII wreckage in Malta. Jersey was British destroyer that sunk 1941 in Valletta harbour. After clearance work only some remains left of wreck.,19.0,,
72,Malta,,Submarine Pen,Wreck,Not dived,0,,Hard,Advanced,18m,30m,,30.0,,
73,Malta,,Tent Peg Wreck,Wreck,Not dived,0,,Hard,Advanced,15m,20m,"Tent Peg Wreck is old cargo steamer in Marsamxett Harbour between Manoel Island and Ta'Xbiex. Wreck is named after tent pegs cargo, not true shipwreck but wreckage site.",20.0,,
74,Malta,,Dragonara Point,Reef,Not dived,1,2.0,Hard,Advanced,15m,25m,,25.0,,
75,Malta,,Ricasoli Cannons (Victorian Guns),Reef,Not dived,1,2.0,Medium,Beginner,6m,12m,"Ricasoli Cannons dive site is in Kalkara, Malta near Fort Ricasoli. There are three cannons in a cavern 2-3m deep. The shallow reef dive has max depth 12m.",12.0,,
76,Malta,,Il-Qaws (Ras il-Qaws),Cave & Wall,Not dived,1,4.0,Boat only,Advanced,20m,40+m,,40.0,,
77,Malta,,Xghajra Reef,Cave & Reef,Not dived,1,4.0,Medium,Beginner,8m,18m,Xghajra Reef is labyrinth of small tunnels and caves with low arches. This shore dive site is located east side of Xghajra village. Max depth of reef is 18m.,18.0,,
78,Malta,,Bristol Beaufighter,Wreck,Low,3,2.7,Boat only,Experienced,35m,38m,Bristol Beaufighter is WWII airplane wreck dive in Malta. Beaufighter sunk in 1943 due to mechanical problems. Plane wreck is upside down at 38m depth.,38.0,,
79,Malta,,"HMS Hellespont (Hellespont, HMAV Hellespont)",Wreck,Low,4,3.8,Boat only,Experienced,35m,41m,HMS Hellespont is WWII wreck dive in Malta. She was sunk 1942 during air raid and scuttled outside Valletta after the war. Hellespont wreck is at 41m deep.,41.0,,
80,Malta,,"HM Drifter Eddy (Eddy, HMS Eddy, HMD Eddy, FY12)",Wreck,Low,3,4.0,Boat only,Technical,52m,56m,HM Drifter Eddy is one of the WWII wreck dives in Malta. Eddy sunk after hitting a mine in 1942. 27m long drifter wreck lies outside Valletta at 56m depth.,56.0,,
81,Malta,,HMS St. Angelo,Wreck,Low,2,4.0,Boat only,Technical,54m,54m,"HMS St. Angelo is WWII wreck dive in Malta. St. Angelo was a tugboat used as a minesweeper, hit a mine and sunk in 1942. Wreck is upright at a depth of 54m.",54.0,,
82,Malta,,"Schnellboot S-31 (S31, S-31)",Wreck,Low,5,4.2,Boat only,Technical,63m,66m,Schnellboot S-31 is WWII wreck dive in Malta. S-31 was German S-boot that hit mine off Valletta and sunk 1942. Wreck is 65m deep.,66.0,,
83,Malta,,"Italian E-boat (Eboat, E.boat)",Wreck,Low,3,3.0,Boat only,Technical,45m,45m,,45.0,,
84,Malta,,"HMS Southwold (Southwold, L10)",Wreck,Medium,5,5.0,Boat only,Technical,67m,73m,"HMS Southwold is WWII wreck dive in Malta. Southwold was sunk by mine 1942. Wreck is in two parts, bow 68m and stern 73m deep.",73.0,,
85,Malta,,"Le Polynesien (SS Polynesien, The Polynesian, Poly, Tal-Platti, Plate Ship)",Wreck,High,4,5.0,Boat only,Technical,50m,65m,Le Polynesien is WWI wreck dive in Malta. SS Polynesien was 152m French passenger ship sunk by torpedo in 1918. Poly wreck max depth is 65m.,65.0,,
86,Malta,,Munxar Cave/Reef (Munxar),Cave & Reef,Low,0,,Boat only,Experienced,10m,45+m,,45.0,,
87,Malta,,Unknown barge,Wreck,Not dived,2,2.5,Boat only,Technical,55m,60m,"Barge wreck is situated off St. Paul’s Bay, with max depth about 60m. Wreck is quite large barge where divers can enter engine room and accommodation area.",60.0,,
88,Malta,,Benghisa Reef (Benghajsa Reef),Reef,Low,2,3.0,Hard,Advanced,10m,50+m,"Benghisa Reef dive site is 1km off Benghisa Point on south coast of Malta, stretching 1.5km southeast. Benghisa Reef starts from 10m and drops down to 50m.",50.0,,
89,Malta,,Il Mara,,Low,0,,Boat only,Advanced,8+m,,,,,
90,Malta,,"Scotscraig (Scot Craig, MV Scotscraig, Popeye’s Barge)",Wreck,Low,2,3.0,Boat only,Beginner,18m,21m,"Scotscraig is wreck dive in Malta. MV Scotscraig was small river ferry, later used in Popeye movie, now boat dive at 21m. Wreck is located near Anchor Bay.",21.0,,
91,Malta,,"Devil's Reef (Qammieh Point, Ras il-Qammieh)",Cave & Reef & Wall,Low,3,3.0,Boat only,Advanced,6m,50+m,"Qammieh Point aka Devil's Reef is a nice wall dive site with few caves and caverns, starting from a shallow plateau and reaching depths well beyond 50m.",50.0,,
92,Malta,,Smugglers Cave (Smugglers Reef),Cave & Reef,Low,1,2.0,Boat only,Beginner,3m,18m,,18.0,,
93,Malta,,"Sikka Il-Bajda (White Reef, Is-Sikka Tal-Kolonna, Hoofer's Reef)",Reef,Low,0,,Boat only,Experienced,20m,42m,,42.0,,
94,Malta,,"HMS Stubborn (Stubborn, P238)",Wreck,Medium,4,3.8,Boat only,Technical,45m,56m,HMS Stubborn is deep submarine wreck in Malta. Stubborn was 66m British submarine scuttled as sonar training target 1946. Wreck is at 56m depth.,56.0,,
95,Malta,,MV Imperial Eagle (Imperial Eagle),Wreck,Medium,6,4.2,Boat only,Experienced,32m,42m,"MV Imperial Eagle is deep wreck dive in Malta. Imperial Eagle was 45m long ferry, scuttled in 1999 off Qawra Point. Wreck is upright on at depth 42m.",42.0,,
96,Malta,,"Statue of Christ (Kristu tal-Bahhara, Kristu l-Bahhar, Christ of the Sailors, Christ of the Seafarers, Jesus of Qawra)",Wreck,Medium,2,4.5,Boat only,Experienced,,35m,Kristu tal-Bahhara (Christ of the Sailors) dive site is underwater statue of Jesus Christ. Statue was sunk 1990 and relocated off Qawra in 2000. Depth max 35m.,35.0,,
97,Malta,,Ghar it-Trozz,Cave & Wall,Low,3,3.7,Boat only,Advanced,30m,70+m,,70.0,,
98,Malta,,Ras ir-Raheb (Ras il-Knejjes),Cave & Wall,Low,3,4.3,Boat only,Experienced,30m,70+m,"Ras ir-Raheb dive site has nice cave starting from surface and reaching down to 25m. Rock wall is nearly vertical, sloping down to sandy seabed over 70m deep.",70.0,,
99,Malta,,Ras id-Dawwara,Wall,Low,1,4.0,Boat only,Experienced,30m,50+m,,50.0,,
100,Malta,,Rdum l-Ahmar (Red Cliffs),Reef,Low,2,2.5,Boat only,Advanced,25m,35m,,35.0,,
101,Malta,,Rdum Tal-Vigarju (Blata tal-Melh),Wall,Low,2,3.5,Boat only,Advanced,25m,50+m,,50.0,,
102,Malta,,St Paul's Reef,Reef,Low,2,3.5,Boat only,Beginner,7m,25m,,25.0,,
103,Malta,,St Paul's Channel,Reef,Not dived,0,,Medium,Beginner,3m,25m,,25.0,,
104,Malta,,"Wied Bassasa (Wied Il-Bassasa, L-Ghar ta’ Wied Bassasa, Bassasa Valley)",Cave & Wall,Low,1,4.0,Boat only,Advanced,10m,40+m,,40.0,,
105,Malta,,Wied Znuber,,Low,0,,Boat only,Advanced,15m,40m,,40.0,,
106,Malta,,"Bristol Blenheim Bomber (Bristol Blenheim, Blenheim Bomber)",Wreck,Low,3,2.3,Boat only,Experienced,39m,42m,Bristol Blenheim Bomber is WWII airplane wreck dive in Malta. Blenheim was shot in one engine and ditched in the sea in 1941. Plane wreck is at 42m depth.,42.0,,
107,Malta,,"Levant II (Cable Layer, Cable Ship, Levant 2)",Wreck,Low,2,3.5,Boat only,Technical,55m,59m,Levant II was built 1904 and sunk 1km off Valletta 1952. Cable layer wreck was rediscovered 1999 and identified as Levant II 10 years later. Max depth is 59m.,59.0,,
108,Malta,,HMS Russell (Russell),Wreck,Low,2,4.5,Boat only,Technical,115m,115m,HMS Russell is WWI wreck in Malta. Russell was British battleship built 1901. She hit mines and sank 1916. Wreck is at 115m depth.,115.0,,
109,Malta,,"Mosquito Fighter Bomber (de Havilland Mosquito, DH.98 Mosquito)",Wreck,Low,3,2.7,Boat only,Experienced,42m,42m,Mosquito Fighter Bomber is airplane wreck dive in Malta. De Havilland Mosquito crashed in sea due to engine problems in 1949. Plane wreck is 40m deep.,42.0,,
110,Malta,,MV Pippo (Pippo),Wreck,Low,2,2.0,Boat only,Experienced,30m,36m,MV Pippo is wreck dive off Ahrax Point. Pippo took in water and sank 2004 on its way from Comino to Malta. Small wreck is boat dive at depth 35m on sand.,36.0,,
111,Malta,,"HMS Kingston (Kingston, F64)",Wreck,Low,1,1.0,Boat only,Advanced,12m,25m,"HMS Kingston is WWII wreckage in Malta. Kingston was British destroyer that sunk at docks in 1942, later used as blockship near Selmun and scrapped there.",25.0,,
112,Malta,,"HMS Greetham (Greetham, Lady Davinia, Lady Davina)",Wreck,Not dived,0,,Hard,Advanced,15m,17m,,17.0,,
113,Malta,,HMS Nasturtium (Nasturtium),Wreck,Low,3,5.0,Boat only,Technical,65m,68m,HMS Nasturtium is WWI wreck dive in Malta. Nasturtium was British minesweeping sloop that hit mine and sank in 1916. Wreck is 68m deep.,68.0,,
114,Malta,,"Cargo Ship Camadan (Camadan, MV Camadan)",Wreck,Not dived,0,,Boat only,Technical,90m,90m,Cargo Ship Camadan is technical wreck dive in Malta. MV Camadan was Turkish 80m long cargo ship that flooded and floundered in 2002. Wreck is at 90m depth.,90.0,,
